,PC1,PC2,PC3,PC4,PC5,PC6
clinic_nearest_drive_m,0.13414192,-0.065148845,0.044394646,0.0016350457,-0.00435644,0.04234462
clinic_count_500m_drive,0.045804024,0.15027077,-0.14993536,-0.009441167,0.04778584,-0.1669538
fuel_nearest_walk_m,0.13850045,-0.03536484,0.012883985,0.00014594848,0.015301431,0.017425617
fuel_count_500m_walk,0.037556037,0.054711748,-0.04799181,0.00430854,-0.081904925,-0.1094857
fuel_nearest_drive_m,0.13803151,-0.037465338,0.0067330874,-0.0022231545,0.010636804,0.0134613225
fuel_count_500m_drive,0.038250875,0.0765762,-0.0037436713,0.010037822,-0.05800414,-0.05983936
post_office_nearest_walk_m,0.14055213,-0.027569376,0.014034108,-0.0015927426,0.0057344,0.016307767
post_office_count_500m_walk,0.023554407,0.06914816,-0.06146131,0.018684646,-0.03589627,-0.27325484
post_office_nearest_drive_m,0.14018357,-0.028962264,0.014687399,-0.0016143998,0.0049124337,0.013324628
post_office_count_500m_drive,0.0236775,0.052979264,-0.0893741,0.019626644,-0.038285553,-0.21766807
police_nearest_walk_m,0.14036457,-0.02801639,0.007030487,-1.8213237e-05,0.002645906,-0.0099011
police_count_500m_walk,0.027654646,0.050685924,0.041953456,-0.007853447,-0.0127053,0.116903536
police_nearest_drive_m,0.13902164,-0.032114826,0.006660041,0.0019724693,-0.0027144079,-0.027635492
police_count_500m_drive,0.031609066,0.046219815,-0.0010570986,-0.017082494,0.02491526,0.17563382
fire_station_nearest_walk_m,0.14040324,-0.024877151,0.008267377,-0.0012598685,0.0022016226,-0.020218417
fire_station_count_500m_walk,0.02258902,0.006338085,0.024212092,-0.012954156,0.006301679,0.17188975
fire_station_nearest_drive_m,0.13977933,-0.025727537,0.00656658,-0.00092183053,-0.00059454597,-0.034983918
fire_station_count_500m_drive,0.02078192,0.01070243,0.027606742,-0.009021403,0.01936724,0.25935093
gym_nearest_walk_m,0.1366092,-0.05518112,0.03397847,0.0016738488,-0.0044854106,0.013743983
gym_count_500m_walk,0.04375188,0.1365099,-0.12857056,-0.013647585,0.035455666,-0.076394044
gym_nearest_drive_m,0.13431038,-0.060367778,0.030232564,0.00070035364,-0.0060485355,-0.0071670506
gym_count_500m_drive,0.045441177,0.14243758,-0.086937755,-0.0068769995,0.047028225,0.027412057
wbgt_nearest_km,0.12328468,-0.053618357,0.004347469,0.0006388191,-0.0034021707,0.011379826
wbgt_median,0.14106302,-0.024110775,0.0063194265,-0.0009487828,0.0029256137,-0.002753604
